oid,week,fid,totalprice,num_orders
1379560,1,1885,136.83,177
1466964,1,1993,136.83,270
1346989,1,2539,134.86,189
1338232,1,2139,339.5,54
1448490,1,2631,243.5,40
1270037,1,1248,251.23,28
1191377,1,1778,183.36,190
1499955,1,1062,182.36,391
1025244,1,2707,193.06,472
1054194,1,1207,325.92,676
1469367,1,1230,323.01,823
1029333,1,2322,322.07,972
1446016,1,2290,311.43,162
1244647,1,1727,445.23,420
1378227,1,1109,264.84,756
1181556,1,2640,282.33,108
1313873,1,2306,243.5,28
1067069,1,2126,486,28
1058482,1,2826,306.58,188
1240935,1,1754,289.12,485
1044821,1,1971,259.99,798
1149039,1,1902,388.03,14
1263416,1,1311,196.94,176
1323882,1,1803,117.4,150
1338119,1,1558,583.03,162
1188372,1,2581,583.03,312
1440008,1,1962,582.03,231
1336534,1,1445,628.62,13
1242186,1,2444,627.62,15
1012819,1,2867,628.62,13
1038567,1,1525,243.5,15
1325272,1,2704,243.5,13
1412058,1,2304,484.03,13
1018704,2,1885,135.83,323
1035555,2,1993,133.89,121
1467879,2,2539,136.83,149
1097418,2,2631,99,27
1235110,2,1248,96.06,257
1071010,2,1778,184.33,161
1072189,2,1062,181.39,271
1032426,2,2707,195,447
1108635,2,1207,325.01,420
1255845,2,1230,322.04,798
1287159,2,2322,323.04,500
1042896,2,2290,311.43,95
1377342,2,1727,447.23,325
1314966,2,1109,261.96,486
1228694,2,2640,280.33,42
1429869,2,2306,242.5,26
1087682,2,2826,304.58,229
1182386,2,1754,287.12,230
1407028,2,1971,258.99,852
1375486,2,1311,178.51,123
1217295,2,1803,179.51,122
1048270,2,1558,583.03,27
1166427,2,2581,582.03,122
1389287,2,1962,581.03,215
1080497,2,1445,628.62,13
1334288,2,2444,626.62,41
1097840,2,2867,628.62,13
1314015,2,1525,244.5,14
1048756,2,2704,243.5,28
1463364,2,2492,387.03,41
1377508,2,1543,486.03,26
1443030,2,2304,485.03,14
1196273,3,1885,132.92,96
1282652,3,1993,134.86,258
1145840,3,2539,135.86,149
1318577,3,2139,340.5,14
1379389,3,1248,94.12,68
1475353,3,1778,181.39,244
1356387,3,1062,184.33,162
1061813,3,2707,196.97,406
1191785,3,1207,322.04,378
1427316,3,1230,318.19,431
1255955,3,2322,321.07,501
1060626,3,2290,310.43,123
1259515,3,1727,447.23,364
1319177,3,1109,311.43,271
1127619,3,2640,262.9,26
1284605,3,2306,243.5,53
1036764,3,1216,455.93,13
1253010,3,2126,486,27
1351128,3,2826,305.58,310
1219787,3,1754,289.12,270
1046109,3,1971,320.13,134
1351808,3,1902,389.03,28
1089267,3,1247,387.03,26
1325689,3,1311,146.5,150
1465323,3,1803,183.36,95
1443133,3,1558,611.13,81
1353453,3,2581,612.13,82
1342686,3,1962,610.13,68
1346490,3,2444,627.62,27
1021012,3,2704,242.5,53
1009531,3,2492,388.03,42
1467348,3,1543,485.03,55
1116527,4,1885,135.86,163
1066744,4,1993,134.89,82
1293029,4,2539,134.86,285
1019571,4,1248,97,96
1394537,4,1778,182.36,176
1179393,4,1062,185.33,311
1296787,4,2707,193.03,514
1249780,4,1207,324.95,622
1271365,4,1230,323.01,674
1144013,4,2322,319.13,933
1105684,4,2290,309.43,244
1391483,4,1727,445.23,379
1144612,4,1109,311.43,215
1420281,4,2640,243.5,94
1209518,4,2126,485.03,14
1261385,4,2826,305.58,338
1122963,4,1754,287.12,325
1079068,4,1971,321.13,122
1339676,4,1247,388.03,41
1302610,4,1311,180.45,215
1299286,4,1803,161.05,188
1392579,4,1558,630.53,81
1253002,4,2581,637.32,109
1054243,4,1962,612.13,69
1435769,4,1445,626.62,40
1031717,4,2444,626.62,42
1169244,4,2867,628.62,28
1029834,4,1525,244.5,54
1167157,4,2704,243.5,69
1113218,4,2492,387.03,40
1021420,4,1543,484.03,13
1185847,4,2304,486.03,42
1343872,5,1885,146.5,215
1115779,5,1993,147.5,81
1435102,5,2539,145.53,161
1453545,5,1248,97,27
1294163,5,1778,183.39,215
1168495,5,1062,184.36,377
1247369,5,2707,191.09,513
1192566,5,1207,387.06,285
1271316,5,1230,385.09,162
1108991,5,2322,386.06,256
1213884,5,2290,163.02,3280
1160096,5,1727,278.42,1365
1499410,5,1109,168.84,177
1475889,5,2640,241.53,82
1278228,5,1216,454.93,28
1176091,5,2126,484.03,27
1411370,5,2826,304.58,312
1022231,5,1754,242.53,244
1118317,5,1971,320.13,177
1380913,5,1247,445.23,14
1089530,5,1311,197.94,177
1199824,5,1803,148.44,177
1283806,5,1558,611.13,122
1118444,5,2581,610.13,82
1371971,5,1962,616.92,216
1153026,5,1445,486.03,82
1204629,5,2444,486.03,134
1447251,5,1525,290.03,28
1107697,5,2492,387.03,80
1452569,5,1543,484.03,28
1122467,5,2304,484.03,14
1493612,6,1885,146.53,285
1231540,6,1993,145.5,161
1316670,6,2539,145.56,121
1190134,6,2139,435.53,15
1295725,6,1248,253.23,28
1132916,6,1778,156.17,121
1217737,6,1062,160.08,324
1122958,6,2707,232.83,204
1427385,6,1207,390,122
1498772,6,1230,372.54,148
1374872,6,2322,392.91,202
1390839,6,2290,163.96,1970
1029761,6,1727,259.99,742
1269953,6,1109,146.47,257
1325892,6,2640,242.53,14
1397246,6,2126,485.03,15
1454700,6,2826,304.58,216
1113331,6,1754,207.58,242
1394498,6,1971,319.13,54
1255270,6,1902,447.23,14
1289785,6,1247,446.23,14
1494894,6,1198,320.13,15
1097102,6,1311,166.84,257
1487716,6,1803,197.94,175
1357796,6,1558,610.13,55
1188757,6,2581,612.13,41
1128895,6,1962,626.68,107
1302961,6,1445,485.03,69
1262771,6,2444,484.03,69
1211862,6,1525,292.03,40
1454489,6,2492,387.03,42
1225439,6,1543,436.5,42
1280057,6,2304,438.5,14
1110832,7,1885,145.53,148
